0,681635
1,327227
2,212482
3,550767
4,393161
5,111588
6,728715
7,39579
8,281644
9,638011
10,906227
11,174088
12,664849
13,422789
14,570998
15,284439
16,593325
17,865757
18,55048
19,191213
20,795045
21,313286
22,767336
23,104044
24,868994
25,591216
26,424068
27,737669
28,136231
29,336092
30,654937
31,613848
32,728054
33,189157
34,528880
35,58267
36,327032
37,917500
38,351527
39,548368
40,943766
41,23547
42,733124
43,670153
44,742586
45,707142
46,978767
47,834707
48,633761
49,507727
50,263202
51,193073
52,524871
53,775200
54,846438
55,635928
56,182260
57,543066
58,135634
59,21865
60,552941
61,908270
62,875186
63,558396
64,339471
65,739487
66,461247
67,139317
68,199227
69,344801
70,168266
71,263731
72,264719
73,738335
74,281028
75,644278
76,761493
77,657024
78,577203
79,130419
80,691244
81,183258
82,756178
83,353101
84,309477
85,151803
86,205930
87,820165
88,665291
89,118686
90,737301
91,620632
92,930028
93,831423
94,681492
95,61905
96,341361
97,281565
98,238883
99,471742
100,422381
101,274022
102,615253
103,149589
104,164169
105,607729
106,687240
107,380671
108,142434
109,599308
110,165673
111,216036
112,197662
113,755240
114,752191
115,295592
116,123500
117,18685
118,299659
119,473262
120,145374
121,806406
122,251270
123,590991
124,525597
125,829792
126,514623
127,788968
128,712160
129,27049
130,76424
131,911595
132,957624
133,83583
134,58218
135,520456
136,349550
137,296358
138,162990
139,164002
140,530515
141,805951
142,203820
143,219528
144,937702
145,733083
146,675929
147,207020
148,995872
149,659530
150,122026
151,945389
152,408939
153,70971
154,824961
155,864043
156,505726
157,956781
158,908404
159,331832
160,608583
161,946245
162,136842
163,531821
164,641931
165,864563
166,552387
167,154222
168,829517
169,714300
170,923572
171,15855
172,677291
173,363581
174,765258
175,819622
176,760210
177,494221
178,864189
179,143733
180,310435
181,253172
182,545626
183,908070
184,174538
185,588610
186,312627
187,618872
188,776438
189,904246
190,791784
191,611888
192,64824
193,153347
194,747764
195,389972
196,907996
197,984277
198,703955
199,10349
200,175567
201,197226
202,655796
203,698542
204,550049
205,63879
206,539393
207,322498
208,654430
209,523269
210,504035
211,600035
212,895027
213,914818
214,404327
215,167693
216,619599
217,192048
218,856549
219,505333
220,480679
221,232665
222,677476
223,434711
224,494744
225,106604
226,714282
227,84726
228,132121
229,897460
230,933654
231,391979
232,93498
233,341867
234,244942
235,492093
236,388753
237,854596
238,351030
239,40383
240,625048
241,693695
242,544217
243,729565
244,809769
245,273165
246,702656
247,350843
248,541614
249,621169
250,427863
251,2646
252,789723
253,676172
254,644294
255,377728
256,655232
257,364936
258,445973
259,808834
260,242625
261,133583
262,122941
263,668461
264,934670
265,167045
266,239957
267,356217
268,358049
269,937225
270,68758
271,694561
272,807020
273,506837
274,122799
275,907676
276,882418
277,116604
278,825386
279,948235
280,560454
281,516438
282,370775
283,468400
284,212016
285,133742
286,617632
287,451899
288,287439
289,365471
290,126486
291,881063
292,470118
293,638680
294,959342
295,619210
296,174890
297,993654
298,635852
299,755570
300,757165
301,29365
302,495527
303,258105
304,268461
305,845381
306,944053
307,148715
308,434610
309,940198
310,587853
311,133962
312,693933
313,164977
314,25741
315,267918
316,523664
317,196961
318,112955
319,861126
320,458920
321,277790
322,710175
323,318843
324,127094
325,337063
326,597947
327,954332
328,907597
329,845886
330,346424
331,458042
332,211710
333,517635
334,113231
335,313966
336,861307
337,244020
338,234486
339,115868
340,451859
341,852586
342,129234
343,3894
344,719630
345,331488
346,197359
347,964629
348,844752
349,239577
350,913367
351,32483
352,832941
353,847273
354,211766
